STATION,NAME,year,month,day,DAPR,DASF,MDPR,MDSF,PRCP,SN02,SN32,SNOW,SNWD,SX02,SX32,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT14,WT16,WT18
USC00097600,"ROME, GA US",1893,02,01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USC00097600,"ROME, GA US",1893,02,02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,42,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USC00097600,"ROME, GA US",1893,02,03,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,58,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
USC00097600,"ROME, GA US",1893,02,04,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,51,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USC00097600,"ROME, GA US",1893,02,05,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,43,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
USC00097600,"ROME, GA US",1893,02,06,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,47,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USC00097600,"ROME, GA US",1893,02,07,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,48,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
USC00097600,"ROME, GA US",1893,02,08,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,48,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USC00097600,"ROME, GA US",1893,02,09,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,44,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USC00097600,"ROME, GA US",1893,02,10,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,66,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USC00097600,"ROME, GA US",1893,02,11,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA,NA,49,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USC00097600,"ROME, GA US",1893,02,12,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,44,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
USC00097600,"ROME, GA US",1893,02,13,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,45,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USC00097600,"ROME, GA US",1893,02,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
