City,County,State,Agency,Summary,Jurisdiction,Vendor
Marietta,Cobb County,GA,Cobb County Police Department,The Cobb County Police Department acknowledged in January 2020 that the agency uses face recognition technology.,County,
Atlanta,"Fulton County, DeKalb County",GA,Atlanta Police Department,"In 2019, the Atlanta Police Department paid $6,000 for three one-year licenses of face recognition technology from Clearview AI.",Municipal,Clearview AI
Senoia,Coweta County,GA,Senoia Police Department,The Senoia Police Department converted to a paid license for Clearview AI after trying the technology via a free trial. ,Municipal,Clearview AI
