SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021
162,13,000,12344,00000,00000,0,A,Cadwell town,Georgia,381,380,380
162,13,000,12400,00000,00000,0,A,Cairo city,Georgia,10181,10168,10015
162,13,000,12456,00000,00000,0,A,Calhoun city,Georgia,16977,17055,17318
162,13,000,12512,00000,00000,0,A,Camak town,Georgia,134,134,135
162,13,000,12624,00000,00000,0,A,Camilla city,Georgia,5114,5091,5046
162,13,000,12932,00000,00000,0,A,Canon city,Georgia,644,646,656
162,13,000,12988,00000,00000,0,A,Canton city,Georgia,32951,33382,34576
162,13,000,13184,00000,00000,0,A,Carl town,Georgia,206,206,215
162,13,000,13212,00000,00000,0,A,Carlton city,Georgia,258,259,259
162,13,000,13352,00000,00000,0,A,Carnesville city,Georgia,705,704,705
162,13,000,13492,00000,00000,0,A,Carrollton city,Georgia,27118,27146,27493
162,13,000,13688,00000,00000,0,A,Cartersville city,Georgia,23093,23151,23222
162,13,000,14108,00000,00000,0,A,Cave Spring city,Georgia,1190,1189,1192
162,13,000,14192,00000,00000,0,A,Cecil city,Georgia,290,291,289
162,13,000,14500,00000,00000,0,A,Cedartown city,Georgia,10147,10145,10270
162,13,000,14920,00000,00000,0,A,Centerville city,Georgia,8232,8256,8243
162,13,000,15026,00000,00000,0,A,Centralhatchee town,Georgia,346,348,355
162,13,000,15172,00000,00000,0,A,Chamblee city,Georgia,30133,30174,29781
162,13,000,15508,00000,00000,0,A,Chatsworth city,Georgia,4845,4833,4804
162,13,000,15552,00000,00000,0,A,Chattahoochee Hills city,Georgia,2950,2970,3084
162,13,000,15648,00000,00000,0,A,Chauncey city,Georgia,292,290,290
162,13,000,15900,00000,00000,0,A,Chester town,Georgia,523,522,520
162,13,000,15984,00000,00000,0,A,Chickamauga city,Georgia,2929,2924,3070
162,13,000,16460,00000,00000,0,A,Clarkesville city,Georgia,1905,1908,1937
162,13,000,16544,00000,00000,0,A,Clarkston city,Georgia,14745,14710,14538
162,13,000,16600,00000,00000,0,A,Claxton city,Georgia,2613,2611,2580
162,13,000,16656,00000,00000,0,A,Clayton city,Georgia,2004,2006,2035
162,13,000,16796,00000,00000,0,A,Clermont town,Georgia,1017,1033,1132
162,13,000,16824,00000,00000,0,A,Cleveland city,Georgia,3481,3485,3511
162,13,000,16908,00000,00000,0,A,Climax city,Georgia,270,270,266
162,13,000,17272,00000,00000,0,A,Cobbtown city,Georgia,327,327,326
162,13,000,17328,00000,00000,0,A,Cochran city,Georgia,5066,5063,5070
162,13,000,17496,00000,00000,0,A,Cohutta city,Georgia,768,768,783
162,13,000,17552,00000,00000,0,A,Colbert city,Georgia,633,636,648
162,13,000,17776,00000,00000,0,A,College Park city,Georgia,13921,13928,13889
162,13,000,17832,00000,00000,0,A,Collins city,Georgia,515,515,518
162,13,000,18000,00000,00000,0,A,Colquitt city,Georgia,1960,1956,1933
162,13,000,19000,00000,00000,0,A,Columbus city,Georgia,206922,206960,205617
162,13,000,19084,00000,00000,0,A,Comer city,Georgia,1548,1552,1581
162,13,000,19112,00000,00000,0,A,Commerce city,Georgia,7404,7461,7604
162,13,000,19168,00000,00000,0,A,Concord city,Georgia,380,379,390
162,13,000,19336,00000,00000,0,A,Conyers city,Georgia,17235,17309,17508
162,13,000,19392,00000,00000,0,A,Coolidge city,Georgia,529,528,531
162,13,000,19616,00000,00000,0,A,Cordele city,Georgia,10214,10160,10044
162,13,000,19728,00000,00000,0,A,Cornelia city,Georgia,4567,4584,4791
162,13,000,20064,00000,00000,0,A,Covington city,Georgia,14200,14235,14391
162,13,000,20288,00000,00000,0,A,Crawford city,Georgia,862,865,877
162,13,000,20316,00000,00000,0,A,Crawfordville city,Georgia,481,480,481
162,13,000,20848,00000,00000,0,A,Culloden city,Georgia,202,202,208
162,13,000,20932,00000,00000,0,A,Cumming city,Georgia,6966,6996,7235
162,13,000,21017,00000,00000,0,A,Cusseta-Chattahoochee County unified government,Georgia,9565,9482,9048
162,13,000,21072,00000,00000,0,A,Cuthbert city,Georgia,3162,3137,3091
162,13,000,21184,00000,00000,0,A,Dacula city,Georgia,6894,6919,7008
162,13,000,21240,00000,00000,0,A,Dahlonega city,Georgia,6606,6609,6654
162,13,000,21268,00000,00000,0,A,Daisy city,Georgia,159,159,157
162,13,000,21324,00000,00000,0,A,Dallas city,Georgia,13969,14055,14423
162,13,000,21380,00000,00000,0,A,Dalton city,Georgia,34348,34294,34285
162,13,000,21436,00000,00000,0,A,Damascus city,Georgia,211,210,206
162,13,000,21632,00000,00000,0,A,Danielsville city,Georgia,650,653,665
162,13,000,21688,00000,00000,0,A,Danville town,Georgia,169,169,166
162,13,000,21716,00000,00000,0,A,Darien city,Georgia,1466,1471,1517
162,13,000,21744,00000,00000,0,A,Dasher town,Georgia,884,884,894
162,13,000,21800,00000,00000,0,A,Davisboro city,Georgia,1868,1866,1860
162,13,000,21912,00000,00000,0,A,Dawson city,Georgia,4423,4407,4317
162,13,000,21940,00000,00000,0,A,Dawsonville city,Georgia,3694,3746,4172
162,13,000,22024,00000,00000,0,A,Dearing town,Georgia,528,527,527
162,13,000,22052,00000,00000,0,A,Decatur city,Georgia,24937,24883,24569
162,13,000,22108,00000,00000,0,A,Deepstep town,Georgia,116,115,113
162,13,000,22304,00000,00000,0,A,Demorest city,Georgia,1924,1927,1927
162,13,000,22388,00000,00000,0,A,Denton city,Georgia,188,187,188
162,13,000,22472,00000,00000,0,A,De Soto city,Georgia,122,122,120
162,13,000,22752,00000,00000,0,A,Dexter town,Georgia,654,653,654
162,13,000,22976,00000,00000,0,A,Dillard city,Georgia,331,331,335
162,13,000,23284,00000,00000,0,A,Doerun city,Georgia,733,731,722
162,13,000,23368,00000,00000,0,A,Donalsonville city,Georgia,2806,2810,2822
162,13,000,23480,00000,00000,0,A,Dooling town,Georgia,67,66,65
162,13,000,23536,00000,00000,0,A,Doraville city,Georgia,10616,10601,10889
162,13,000,23872,00000,00000,0,A,Douglas city,Georgia,11717,11692,11727
162,13,000,23900,00000,00000,0,A,Douglasville city,Georgia,34698,34807,35561
162,13,000,24376,00000,00000,0,A,Dublin city,Georgia,16164,16131,16121
162,13,000,24488,00000,00000,0,A,Dudley city,Georgia,590,589,590
162,13,000,24600,00000,00000,0,A,Duluth city,Georgia,31908,31892,31864
162,13,000,24768,00000,00000,0,A,Dunwoody city,Georgia,51629,51539,50901
162,13,000,24796,00000,00000,0,A,Du Pont town,Georgia,131,130,130
162,13,000,25300,00000,00000,0,A,East Dublin city,Georgia,2479,2476,2479
162,13,000,25356,00000,00000,0,A,East Ellijay city,Georgia,648,650,859
162,13,000,25552,00000,00000,0,A,Eastman city,Georgia,5660,5653,5595
162,13,000,25720,00000,00000,0,A,East Point city,Georgia,38384,38400,38141
162,13,000,26084,00000,00000,0,A,Eatonton city,Georgia,6282,6307,6436
162,13,000,26156,00000,00000,0,A,Echols County consolidated government,Georgia,3697,3696,3699
162,13,000,26224,00000,00000,0,A,Edge Hill city,Georgia,20,20,20
162,13,000,26448,00000,00000,0,A,Edison city,Georgia,1274,1271,1254
162,13,000,26616,00000,00000,0,A,Elberton city,Georgia,4645,4637,4678
162,13,000,26980,00000,00000,0,A,Ellaville city,Georgia,1591,1586,1553
162,13,000,27008,00000,00000,0,A,Ellenton town,Georgia,211,210,213
162,13,000,27092,00000,00000,0,A,Ellijay city,Georgia,1830,1833,1847
162,13,000,27344,00000,00000,0,A,Emerson city,Georgia,1440,1441,1446
162,13,000,27596,00000,00000,0,A,Enigma town,Georgia,1061,1062,1064
162,13,000,27708,00000,00000,0,A,Ephesus city,Georgia,473,475,478
162,13,000,27932,00000,00000,0,A,Eton city,Georgia,829,827,826
162,13,000,27988,00000,00000,0,A,Euharlee city,Georgia,4275,4285,4315
162,13,000,28380,00000,00000,0,A,Fairburn city,Georgia,16497,16570,16597
162,13,000,28492,00000,00000,0,A,Fairmount city,Georgia,772,773,774
162,13,000,28744,00000,00000,0,A,Fargo city,Georgia,255,254,254
162,13,000,28968,00000,00000,0,A,Fayetteville city,Georgia,18893,18955,19284
162,13,000,29528,00000,00000,0,A,Fitzgerald city,Georgia,9020,8994,8977
162,13,000,30088,00000,00000,0,A,Flemington city,Georgia,831,825,840
162,13,000,30312,00000,00000,0,A,Flovilla city,Georgia,640,644,651
162,13,000,30340,00000,00000,0,A,Flowery Branch city,Georgia,9378,9490,10144
162,13,000,30424,00000,00000,0,A,Folkston city,Georgia,4358,4360,4408
162,13,000,30536,00000,00000,0,A,Forest Park city,Georgia,20048,19993,19798
162,13,000,30732,00000,00000,0,A,Forsyth city,Georgia,4407,4418,4512
162,13,000,30816,00000,00000,0,A,Fort Gaines city,Georgia,991,986,999
162,13,000,30956,00000,00000,0,A,Fort Oglethorpe city,Georgia,10431,10437,10531
162,13,000,31096,00000,00000,0,A,Fort Valley city,Georgia,8772,8781,8863
162,13,000,31292,00000,00000,0,A,Franklin city,Georgia,918,920,923
162,13,000,31320,00000,00000,0,A,Franklin Springs city,Georgia,1122,1121,1123
162,13,000,31684,00000,00000,0,A,Funston city,Georgia,402,402,402
162,13,000,31908,00000,00000,0,A,Gainesville city,Georgia,42339,42538,43417
162,13,000,32048,00000,00000,0,A,Garden City city,Georgia,10266,10364,10306
162,13,000,32188,00000,00000,0,A,Garfield city,Georgia,254,254,254
162,13,000,32384,00000,00000,0,A,Gay town,Georgia,110,109,114
162,13,000,32412,00000,00000,0,A,Geneva town,Georgia,74,74,74
162,13,000,32528,00000,00000,0,A,Georgetown-Quitman County unified government,Georgia,2235,2224,2243
162,13,000,32748,00000,00000,0,A,Gibson city,Georgia,625,624,630
162,13,000,32860,00000,00000,0,A,Gillsville city,Georgia,301,300,303
162,13,000,32916,00000,00000,0,A,Girard town,Georgia,182,181,180
162,13,000,33336,00000,00000,0,A,Glennville city,Georgia,3687,3683,3707
162,13,000,33392,00000,00000,0,A,Glenwood city,Georgia,845,839,843
