geographic_area,april_2020_base_estimate,population_2020,population_2021,percent_change
"Blackshear, Georgia",3504,3502,3537,0.9994288977727013
"Pearson, Georgia",1827,1829,1847,0.9841443411700382
"Nelson, Georgia",1149,1153,1164,0.9540329575021683
"Fort Valley, Georgia",8772,8781,8863,0.933834415214668
"Barnesville, Georgia",6337,6330,6389,0.9320695102685624
"Griffin, Georgia",23477,23426,23643,0.9263211815931017
"Marietta, Georgia",60969,60940,61497,0.9140137840498851
"Fort Oglethorpe, Georgia",10431,10437,10531,0.900641946919613
"Austell, Georgia",7722,7728,7797,0.8928571428571428
"South Fulton, Georgia",107524,107623,108575,0.8845692835174637
"Elberton, Georgia",4645,4637,4678,0.8841923657537202
"Reidsville, Georgia",2424,2425,2446,0.865979381443299
"Georgetown-Quitman County unified government, Georgia",2235,2224,2243,0.85431654676259
"Broxton, Georgia",1057,1056,1065,0.8522727272727272
"Jackson, Georgia",5553,5575,5622,0.8430493273542601
"Richland, Georgia",1473,1467,1479,0.81799591002045
"Statham, Georgia",2806,2834,2857,0.8115737473535639
"Mount Vernon, Georgia",1985,1977,1993,0.8093070308548306
"Tallapoosa, Georgia",3219,3221,3247,0.8072027320707855
"LaFayette, Georgia",6875,6914,6968,0.7810240092565809
"Ellijay, Georgia",1830,1833,1847,0.7637752318603382
"Cleveland, Georgia",3481,3485,3511,0.7460545193687231
"Webster County unified government, Georgia",2348,2350,2367,0.723404255319149
"Euharlee, Georgia",4275,4285,4315,0.7001166861143524
"Dahlonega, Georgia",6606,6609,6654,0.6808896958692692
"Lookout Mountain, Georgia",1644,1642,1653,0.6699147381242387
"Leesburg, Georgia",3482,3483,3506,0.6603502727533735
"Glennville, Georgia",3687,3683,3707,0.65164268259571
"Lavonia, Georgia",2147,2144,2157,0.6063432835820896
"St. Marys, Georgia",18345,18410,18521,0.6029331884845193
"Statesboro, Georgia",33159,33209,33399,0.5721340600439639
"Young Harris, Georgia",1319,1320,1327,0.5303030303030304
"Stockbridge, Georgia",28944,29010,29163,0.5274043433298862
"Norcross, Georgia",17227,17553,17642,0.5070358343303139
"Sugar Hill, Georgia",25093,25139,25259,0.4773459564819603
"Brookhaven, Georgia",55143,55119,55366,0.44812133746983795
"Ringgold, Georgia",3409,3414,3429,0.4393673110720563
"Resaca, Georgia",1162,1165,1170,0.4291845493562232
"Donalsonville, Georgia",2806,2810,2822,0.42704626334519574
"Royston, Georgia",2651,2645,2656,0.4158790170132325
"Hawkinsville, Georgia",3980,3982,3997,0.3766951280763436
"Greensboro, Georgia",3655,3636,3649,0.35753575357535755
"Emerson, Georgia",1440,1441,1446,0.3469812630117973
"Hazlehurst, Georgia",4054,4051,4065,0.34559368057269807
"Lawrenceville, Georgia",30436,30414,30516,0.33537186821858356
"Toccoa, Georgia",9152,9158,9188,0.32758244158113126
"Nicholls, Georgia",3197,3195,3205,0.3129890453834116
"Rincon, Georgia",10903,10982,11016,0.30959752321981426
"Cartersville, Georgia",23093,23151,23222,0.3066822167508963
"Douglas, Georgia",11717,11692,11727,0.29934998289428666
"Rossville, Georgia",3975,3973,3984,0.27686886483765416
"Adel, Georgia",5485,5492,5507,0.2731245447924253
"Cave Spring, Georgia",1190,1189,1192,0.2523128679562658
"Boston, Georgia",1206,1206,1209,0.24875621890547264
"Alpharetta, Georgia",65852,65968,66127,0.241025951976716
"Warrenton, Georgia",1737,1733,1737,0.2308136180034622
"Jesup, Georgia",9880,9877,9899,0.22273969828895415
"Enigma, Georgia",1061,1062,1064,0.18832391713747645
"Valdosta, Georgia",55485,55468,55567,0.17848128650753586
"Franklin Springs, Georgia",1122,1121,1123,0.17841213202497772
"Metter, Georgia",3980,3987,3994,0.17557060446450964
"Athens-Clarke County unified government (balance), Georgia",127320,127141,127358,0.17067665033309476
"Winterville, Georgia",1198,1196,1198,0.16722408026755853
"Fairburn, Georgia",16497,16570,16597,0.16294508147254072
