geographic_area,april_2020_base_estimate,population_2020,population_2021
"Douglas city, Georgia",11717,11692,11727
"Douglasville city, Georgia",34698,34807,35561
"Dublin city, Georgia",16164,16131,16121
"Dudley city, Georgia",590,589,590
"Duluth city, Georgia",31908,31892,31864
"Dunwoody city, Georgia",51629,51539,50901
"Du Pont town, Georgia",131,130,130
"East Dublin city, Georgia",2479,2476,2479
"East Ellijay city, Georgia",648,650,859
"Eastman city, Georgia",5660,5653,5595
"East Point city, Georgia",38384,38400,38141
"Eatonton city, Georgia",6282,6307,6436
"Echols County consolidated government, Georgia",3697,3696,3699
"Edge Hill city, Georgia",20,20,20
"Edison city, Georgia",1274,1271,1254
"Elberton city, Georgia",4645,4637,4678
"Ellaville city, Georgia",1591,1586,1553
"Ellenton town, Georgia",211,210,213
"Ellijay city, Georgia",1830,1833,1847
"Emerson city, Georgia",1440,1441,1446
"Enigma town, Georgia",1061,1062,1064
"Ephesus city, Georgia",473,475,478
"Eton city, Georgia",829,827,826
"Euharlee city, Georgia",4275,4285,4315
"Fairburn city, Georgia",16497,16570,16597
"Fairmount city, Georgia",772,773,774
"Fargo city, Georgia",255,254,254
"Fayetteville city, Georgia",18893,18955,19284
"Fitzgerald city, Georgia",9020,8994,8977
"Flemington city, Georgia",831,825,840
"Flovilla city, Georgia",640,644,651
"Flowery Branch city, Georgia",9378,9490,10144
"Folkston city, Georgia",4358,4360,4408
"Forest Park city, Georgia",20048,19993,19798
"Forsyth city, Georgia",4407,4418,4512
"Fort Gaines city, Georgia",991,986,999
"Fort Oglethorpe city, Georgia",10431,10437,10531
"Fort Valley city, Georgia",8772,8781,8863
"Franklin city, Georgia",918,920,923
"Franklin Springs city, Georgia",1122,1121,1123
"Funston city, Georgia",402,402,402
"Gainesville city, Georgia",42339,42538,43417
"Garden City city, Georgia",10266,10364,10306
"Garfield city, Georgia",254,254,254
"Gay town, Georgia",110,109,114
"Geneva town, Georgia",74,74,74
"Georgetown-Quitman County unified government, Georgia",2235,2224,2243
"Gibson city, Georgia",625,624,630
"Gillsville city, Georgia",301,300,303
"Girard town, Georgia",182,181,180
"Glennville city, Georgia",3687,3683,3707
"Glenwood city, Georgia",845,839,843
"Good Hope city, Georgia",339,342,350
"Gordon city, Georgia",1778,1771,1769
"Graham city, Georgia",265,264,264
"Grantville city, Georgia",3106,3114,3276
"Gray city, Georgia",3409,3408,3407
"Grayson city, Georgia",4706,4698,4679
"Greensboro city, Georgia",3655,3636,3649
"Greenville city, Georgia",795,793,796
"Griffin city, Georgia",23477,23426,23643
"Grovetown city, Georgia",15646,15992,16566
"Gumbranch city, Georgia",241,239,245
"Guyton city, Georgia",2279,2314,2557
"Hagan city, Georgia",963,959,949
"Hahira city, Georgia",3371,3370,3406
"Hamilton city, Georgia",1622,1634,1664
"Hampton city, Georgia",8356,8384,8346
"Hapeville city, Georgia",6565,6567,6538
"Haralson town, Georgia",170,170,171
"Harlem city, Georgia",3579,3619,3866
"Harrison town, Georgia",338,336,330
"Hartwell city, Georgia",4441,4440,4503
"Hawkinsville city, Georgia",3980,3982,3997
"Hazlehurst city, Georgia",4054,4051,4065
"Helen city, Georgia",534,535,545
"Hephzibah city, Georgia",3792,3786,3782
"Hiawassee city, Georgia",1007,1009,1029
"Higgston town, Georgia",315,314,314
"Hiltonia town, Georgia",308,308,310
"Hinesville city, Georgia",35265,35397,35420
"Hiram city, Georgia",4932,4960,5080
"Hoboken city, Georgia",482,482,483
"Hogansville city, Georgia",3247,3238,3209
"Holly Springs city, Georgia",16251,16493,17473
"Homeland city, Georgia",892,894,918
"Homer town, Georgia",1260,1271,1360
"Homerville city, Georgia",2335,2325,2317
"Hoschton city, Georgia",2666,2743,3519
"Hull city, Georgia",232,233,233
"Ideal city, Georgia",398,396,397
"Ila city, Georgia",353,355,363
"Iron City town, Georgia",317,317,319
"Irwinton city, Georgia",542,540,540
"Ivey city, Georgia",1034,1032,1030
"Jackson city, Georgia",5553,5575,5622
"Jacksonville city, Georgia",116,115,115
"Jakin city, Georgia",132,131,128
"Jasper city, Georgia",4090,4103,4235
"Jefferson city, Georgia",13223,13339,13986
"Jeffersonville city, Georgia",956,951,933
"Jenkinsburg city, Georgia",389,390,393
"Jersey city, Georgia",143,143,149
"Jesup city, Georgia",9880,9877,9899
"Johns Creek city, Georgia",82499,82591,82065
"Jonesboro city, Georgia",4399,4393,4510
"Junction City town, Georgia",137,137,138
"Kennesaw city, Georgia",33001,33124,33049
"Keysville city, Georgia",315,315,315
"Kingsland city, Georgia",18437,18517,19075
"Kingston city, Georgia",724,740,745
"Kite city, Georgia",165,165,164
"LaFayette city, Georgia",6875,6914,6968
"LaGrange city, Georgia",30917,30967,31551
"Lake City city, Georgia",3106,3100,3071
"Lakeland city, Georgia",2794,2798,2762
"Lake Park city, Georgia",927,972,1169
"Lavonia city, Georgia",2147,2144,2157
"Lawrenceville city, Georgia",30436,30414,30516
"Leary city, Georgia",550,548,542
"Leesburg city, Georgia",3482,3483,3506
"Lenox town, Georgia",762,761,756
"Leslie city, Georgia",343,342,341
"Lexington city, Georgia",201,201,206
"Lilburn city, Georgia",14495,14540,15168
"Lilly city, Georgia",136,135,131
"Lincolnton city, Georgia",1468,1468,1461
"Lithonia city, Georgia",2665,2657,2621
"Locust Grove city, Georgia",8938,9146,9750
"Loganville city, Georgia",14125,14208,14720
"Lone Oak town, Georgia",111,111,114
"Lookout Mountain city, Georgia",1644,1642,1653
"Louisville city, Georgia",2396,2386,2361
"Lovejoy city, Georgia",10475,10625,11311
"Ludowici city, Georgia",1575,1585,1665
"Lula city, Georgia",2822,2837,2895
"Lumber City city, Georgia",1023,1024,1021
"Lumpkin city, Georgia",967,962,972
"Luthersville city, Georgia",773,774,779
"Lyerly town, Georgia",453,452,452
"Lyons city, Georgia",4244,4247,4211
"McCaysville city, Georgia",1151,1154,1171
"McDonough city, Georgia",29182,29448,30356
"McIntyre town, Georgia",571,568,568
"Macon-Bibb County, Georgia",157346,157104,156762
"McRae-Helena city, Georgia",5943,5933,5903
"Madison city, Georgia",4421,4427,4894
"Manassas city, Georgia",58,58,58
"Manchester city, Georgia",3571,3563,3563
"Mansfield city, Georgia",442,444,453
"Marietta city, Georgia",60969,60940,61497
"Marshallville city, Georgia",1067,1060,1053
"Martin town, Georgia",338,338,339
"Maxeys town, Georgia",197,197,201
"Maysville town, Georgia",1869,1883,1965
"Meansville city, Georgia",264,263,270
"Meigs city, Georgia",924,923,927
"Menlo city, Georgia",481,480,480
"Metter city, Georgia",3980,3987,3994
"Midville city, Georgia",385,385,380
"Midway city, Georgia",2167,2154,2190
"Milan city, Georgia",637,634,631
"Milledgeville city, Georgia",17256,17228,17165
"Millen city, Georgia",2964,2955,2934
"Milner city, Georgia",768,768,776
"Milton city, Georgia",41318,41401,41259
"Mitchell town, Georgia",151,151,153
"Molena city, Georgia",390,392,403
"Monroe city, Georgia",14901,14965,15264
"Montezuma city, Georgia",3115,3096,3076
"Monticello city, Georgia",2532,2540,2645
"Montrose town, Georgia",200,200,199
"Moreland town, Georgia",380,379,386
"Morgan city, Georgia",1578,1577,1576
"Morganton city, Georgia",288,289,294
"Morrow city, Georgia",6631,6614,6553
"Morven city, Georgia",517,516,519
"Moultrie city, Georgia",14740,14721,14587
"Mountain City town, Georgia",905,906,927
"Mountain Park city, Georgia",587,587,579
"Mount Airy town, Georgia",1411,1410,1435
"Mount Vernon city, Georgia",1985,1977,1993
"Mount Zion city, Georgia",1759,1775,1894
"Nahunta city, Georgia",1000,1008,1004
"Nashville city, Georgia",4917,4908,4869
"Nelson city, Georgia",1149,1153,1164
"Newborn town, Georgia",677,679,697
"Newington town, Georgia",286,285,287
"Newnan city, Georgia",42383,42673,43298
"Newton city, Georgia",599,592,588
"Nicholls city, Georgia",3197,3195,3205
