SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE,white_pct,black_pct,asian_pct,native_pct,pacific_islander_pct,two_or_more_pct
050,13,063,Georgia,Clayton County,3,0,297100,139002,158098,27571,27023,99777,118168,890,896,7143,7870,218,307,3403,3834,30182,29869,102475,121266,1841,2051,7806,8599,396,527,118360,138603,12053,12938,96328,114504,202,304,6942,7590,96,107,2739,3160,14147,15249,98535,117099,902,1211,7495,8207,236,287,20642,19495,15518,14085,3449,3664,688,592,201,280,122,200,664,674,16035,14620,3940,4167,939,840,311,392,160,240,18.375631100639513,73.35745540222148,13.509592729720632,0.6011443958263211,0.17670817906428812,2.435880175025244
050,13,067,Georgia,Cobb County,3,0,766802,373619,393183,235677,237361,104351,119898,2073,1876,21133,22582,333,316,10052,11150,244370,246879,110533,127045,4437,4588,24525,26212,673,692,319513,342617,189846,195159,99694,114908,580,746,20784,22159,156,169,8453,9476,197182,203238,104835,120937,2343,2832,23836,25423,421,484,54106,50566,45831,42202,4657,4990,1493,1130,349,423,177,147,1599,1674,47188,43641,5698,6108,2094,1756,689,789,252,208,61.689719119146794,29.244707238635264,13.65045996228492,0.5149960485236085,0.08463723360137297,2.764990179994314
050,13,089,Georgia,DeKalb County,3,0,757718,359174,398544,134771,138063,189875,223871,1967,1694,23974,24980,404,521,8183,9415,141291,145396,194822,229837,4516,4781,26868,28189,791,993,325859,367022,108910,114538,185623,218778,516,600,23618,24630,257,353,6935,8123,114420,120826,189773,223926,2476,3092,26240,27535,573,747,33315,31522,25861,23525,4252,5093,1451,1094,356,350,147,168,1248,1292,26871,24570,5049,5911,2040,1689,628,654,218,246,36.00732726423287,54.604219511744475,8.556877360706753,0.48316128163775973,0.12207707880768306,2.322499927413629
050,13,121,Georgia,Fulton County,3,0,1065334,516655,548679,243734,234231,217415,258910,1455,1508,42564,40907,197,189,11290,12934,252735,244308,224198,267154,4400,5190,47276,46006,692,742,476451,511150,210857,204244,212418,253769,686,783,42359,40735,109,126,10022,11493,218828,213157,218326,261010,3121,3892,46748,45449,528,593,40204,37529,32877,29987,4997,5141,769,725,205,172,88,63,1268,1441,33907,31151,5872,6144,1279,1298,528,557,164,149,44.86527229957929,44.71132996787862,7.296584920785406,0.27812873709090297,0.03623276831491344,2.273840879949387
050,13,135,Georgia,Gwinnett County,3,0,964546,472720,491826,252139,248895,140155,157390,4373,3913,61302,65951,557,546,14194,15131,264280,261706,148975,167134,7919,7808,66486,71316,1231,1291,362772,387905,158648,161671,131204,147824,759,794,60615,65161,199,233,11347,12222,168351,171978,138147,155591,3159,3549,65052,69760,678,776,109948,103921,93491,87224,8951,9566,3614,3119,687,790,358,313,2847,2909,95929,89728,10828,11543,4760,4259,1434,1556,553,515,51.9450601630197,30.84819179178598,22.173022333823376,0.8590570071308159,0.1143543179900181,3.04029045789418
