City,State,Type of LEA,Agency,Vendor
East Lansing,MI,Police,Michigan State University Police and Public Safety,NA
Midland,MI,Sheriff,Midland County Sheriff's Office,NA
Midland,MI,Police,Midland Police Department,NA
Milan,MI,Police,Milan Police Department,NA
Milford,MI,Police,Milford Police Department,NA
Lake City,MI,Sheriff,Missaukee County Sheriff's Office,NA
Monroe,MI,Sheriff,Monroe County Sheriff's Office,NA
Monroe,MI,Police,Monroe Police Department,NA
Stanton,MI,Sheriff,Montcalm County Sheriff's Office,NA
Atlanta,MI,Sheriff,Montmorency County Sheriff's Deparmtent,NA
Montrose Township,MI,Police,Montrose Township Police Department,NA
Morenci,MI,Police,Morenci Police Department,NA
Mt. Morris,MI,Police,Mt. Morris Police Department,NA
Mt. Morris Township,MI,Police,Mt. Morris Township Police Department,NA
Muskegon,MI,Sheriff,Muskegon County Sheriff's Office,NA
Muskegon Heights,MI,Police,Muskegon Heights Police Department,NA
Muskegon,MI,Police,Muskegon Police Department,NA
Nashville,MI,Police,Nashville Police Department,NA
New Baltimore,MI,Police,New Baltimore Police Department,NA
New Buffalo,MI,Police,New Buffalo Police Department,NA
White Cloud,MI,Sheriff,Newaygo County Sheriff's Office,NA
Newaygo,MI,Police,Newaygo Police Department,NA
Niles,MI,Police,Niles Police Department,NA
Dearborn,MI,Police,Norfolk Southern Railroad Police Department,NA
North Muskegon,MI,Police,North Muskegon Police Department,NA
Northville,MI,Police,Northville Police Department,NA
Northville Township,MI,Police,Northville Township Police Department,NA
Norton Shores,MI,Police,Norton Shores Police Department,NA
Novi,MI,Police,Novi Police Department,NA
Oak Park,MI,Police,Oak Park Department Of Public Safety,NA
Pontiac,MI,Sheriff,Oakland County Sheriff's Office,NA
Rochester,MI,Police,Oakland University Police Department,NA
Hart,MI,Sheriff,Oceana County Sheriff's Office,NA
West Branch,MI,Sheriff,Ogemaw County Sheriff's Office,NA
Ontonagon,MI,Sheriff,Ontonagon County Sheriff's Office,NA
Ontwa Township,MI,Police,Ontwa Township Edwardsburg Police Department,NA
Orchard Lake Village,MI,Police,Orchard Lake Police Department,NA
Reed City,MI,Sheriff,Osceola County Sheriff's Office,NA
Oscoda Township,MI,Police,Oscoda Township Police Department,NA
Gaylord,MI,Sheriff,Otsego County Sheriff's Office,NA
Otsego,MI,Police,Otsego Police Department,NA
Coopersville,MI,Sheriff,Ottawa County Sheriff's Office,NA
Owosso,MI,Police,Owosso Police Department,NA
Oxford,MI,Police,Oxford Police Department,NA
Pentwater,MI,Police,Pentwater Police Department,NA
Perry,MI,Police,Perry Police Department,NA
Petoskey,MI,Police,Petoskey Department Of Public Safety,NA
Pinckney,MI,Police,Pinckney Police Department,NA
Pittsfield Township,MI,Police,Pittsfield Township Department Of Public Safety,NA
Plymouth Township,MI,Police,Plymouth Township Police Department,NA
Dowagiac,MI,Police,Pokagon Tribal Police Department,NA
Port Huron,MI,Police,Port Huron Police Department,NA
Portage,MI,Police,Portage Department Of Public Safety,NA
Portland,MI,Police,Portland Police Department,NA
Prairieville Township,MI,Police,Prairieville Township Police Department,NA
Rogers City,MI,Sheriff,Presque Isle County Sheriff's Office,NA
Quincy,MI,Police,Quincy Police Department,NA
Reading,MI,Police,Reading Police Department,NA
Redford Township,MI,Police,Redford Township Police Department,NA
Reed City,MI,Police,Reed City Police Department,NA
Richfield Township,MI,Police,Richfield Township Department Of Public Safety,NA
Richfield Township,MI,Police,Richfield Township Police Department,NA
Richland,MI,Police,Richland Police Department,NA
Richland Township,MI,Police,Richland Township  Police Department,NA
Richmond,MI,Police,Richmond Police Department,NA
River Rouge,MI,Police,River Rouge Police Department,NA
Riverview,MI,Police,Riverview Police Department,NA
Rockford,MI,Police,Rockford Department Of Public Safety,NA
Rockwood,MI,Police,Rockwood Police Department,NA
Romulus,MI,Police,Romulus Police Department,NA
Roosevelt Park,MI,Police,Roosevelt Park Police Department,NA
Roscommon,MI,Sheriff,Roscommon County Sheriff's Office,NA
Roseville,MI,Police,Roseville Police Department,NA
Royal Oak,MI,Police,Royal Oak Police Department,NA
Mt. Pleasant,MI,Police,Saginaw Chippewa Tribal Police Department,NA
Saginaw,MI,Sheriff,Saginaw County Sheriff's Office,NA
Saginaw,MI,Police,Saginaw Police Department,NA
Saginaw Township,MI,Police,Saginaw Township Police Department,NA
Frankenlust Township,MI,Police,Saginaw Valley State University Police Department,NA
Saline,MI,Police,Saline Police Department,NA
Sandusky,MI,Sheriff,Sanilac County Sheriff's Office,NA
Sault Ste. Marie,MI,Police,Sault Ste. Marie Police Department,NA
Manistique,MI,Sheriff,Schoolcraft County Sheriff's Department,NA
Scottville,MI,Police,Scottville Police Department,NA
Shelby Township,MI,Police,Shelby Township Police Department,NA
Corunna,MI,Sheriff,Shiawassee County Sheriff's Office,NA
Somerset Township,MI,Police,Somerset Township Police Department,NA
South Rockwood,MI,Police,South Rockwood Police Department,NA
Southfield,MI,Police,Southfield Police Department,NA
Southgate,MI,Police,Southgate Police Department,NA
Sparta,MI,Police,Sparta Police Department,NA
Springport Township,MI,Police,Springport Township Police Department,NA
St. Charles,MI,Police,St. Charles Police Department,NA
Port Huron,MI,Sheriff,St. Clair County Sheriff's Office,NA
St. Clair,MI,Police,St. Clair Police Department,NA
St. Clair Shores,MI,Police,St. Clair Shores Police Department,NA
St. Ignace,MI,Police,St. Ignace Police Department,NA
St. Johns,MI,Police,St. Johns Police Department,NA
Centreville,MI,Sheriff,St. Joseph County Sheriff's Office,NA
St. Joseph,MI,Police,St. Joseph Department Of Public Safety,NA
St. Joseph Township,MI,Police,St. Joseph Township Police Department,NA
St. Louis,MI,Police,St. Louis Police Department,NA
Sterling Heights,MI,Police,Sterling Heights Police Department,NA
Sturgis,MI,Police,Sturgis Police Department,NA
Sumpter Township,MI,Police,Sumpter Township Police Department,NA
Sylvan Lake,MI,Police,Sylvan Lake Police Department,NA
Tawas City,MI,Police,Tawas City Police Authority,NA
Taylor,MI,Police,Taylor Police Department,NA
Tecumseh,MI,Police,Tecumseh Police Department,NA
Thomas Township,MI,Police,Thomas Township Police Department,NA
Three Rivers,MI,Police,Three Rivers Police Department,NA
Tittabawassee Township,MI,Police,Tittabawassee Township Police,NA
Traverse City,MI,Police,Traverse City Police Department,NA
Trenton,MI,Police,Trenton Police Department,NA
Troy,MI,Police,Troy Police Department,NA
Tuscarora Township,MI,Police,Tuscarora Township Police Department,NA
Caro,MI,Sheriff,Tuscola County Sheriff's Office,NA
Unadilla Township,MI,Police,Unadilla Township Police Department,NA
Union City,MI,Police,Union City Police Department,NA
Ann Arbor,MI,Police,University Of Michigan Department of Public Safety,NA
Ann Arbor,MI,Police,University Of Michigan Department of Public Safety,NA
Utica,MI,Police,Utica Police Department,NA
Paw Paw,MI,Sheriff,Van Buren County Sheriff's Office,NA
Walker,MI,Police,Walker Police Department,NA
Warren,MI,Police,Warren Police Department,NA
Ann Arbor,MI,Police,Washtenaw Community College Department of Public Safety,NA
Ann Arbor,MI,Sheriff,Washtenaw County Sheriff's Office,NA
Watersmeet,MI,Police,Watersmeet Police Department,NA
Wayland,MI,Police,Wayland Police Department,NA
Detroit,MI,Police,Wayne County Airport Police Department,NA
Detroit,MI,Sheriff,Wayne County Sheriff's Office,NA
Wayne,MI,Police,Wayne Police Department,NA
Detroit,MI,Police,Wayne State University Police,NA
West Bloomfield Township,MI,Police,West Bloomfield Township Police Department,NA
Kalamazoo,MI,Police,Western Michigan University Police Department,NA
Westland,MI,Police,Westland Police Department,NA
Cadillac,MI,Sheriff,Wexford County Sheriff's Office,NA
White Lake Township,MI,Police,White Lake Township Police Department,NA
White Pigeon,MI,Police,White Pigeon Police Department,NA
Whitehall,MI,Police,Whitehall Police Department,NA
Williamston,MI,Police,Williamston Police Department,NA
Wixom,MI,Police,Wixom Police Department,NA
Wolverine Lake,MI,Police,Wolverine Lake Police Department,NA
Woodhaven,MI,Police,Woodhaven Police Department,NA
Woodland Township,MI,Police,Woodland Township Police Department,NA
Wyandotte,MI,Police,Wyandotte Police Department,NA
Wyoming,MI,Police,Wyoming Police Department,NA
Yale,MI,Police,Yale Police Department,NA
Zeeland,MI,Police,Zeeland Police Department,NA
Zilwaukee,MI,Police,Zilwaukee Police Department,NA
Allegan,MI,Police,Allegan City Police Department,NA
Bay City,MI,Sheriff,Bay County Sheriff’s Office,NA
Big Rapids,MI,Police,Big Rapids Department of Public Safety,NA
Canton Township,MI,Police,Canton Police Department,NA
Davison Township,MI,Police,Davison Township Police Department,NA
Dearborn,MI,Police,Dearborn Police Department,NA
DeWitt Township,MI,Police,DeWitt Township Police Department,NA
Grayling,MI,Police,Grayling Police Department,NA
Highland Park,MI,Police,Highland Park Police Department,NA
Lansing,MI,Police,Lansing Police Department,NA
Lapeer,MI,Sheriff,Lapeer County Sheriff’s Office,NA
Howell,MI,Sheriff,Livingston County Sheriff’s Office,NA
Mt. Pleasant,MI,Police,Mt. Pleasant Police Department,NA
Potterville,MI,Police,Potterville Police Department,NA
